,ids,pvalue_less,pvalue_greater
463,2048,0.0001,1.0
464,2049,1.0,0.0001
465,2050,0.004,0.9993
466,2051,1.0,1.0
467,2052,1.0,1.0
468,2053,1.0,0.0001
469,2054,0.0001,1.0
470,2055,1.0,1.0
471,2056,1.0,1.0
472,2057,0.0001,1.0
473,2058,0.7765,0.3786
474,2059,1.0,1.0
475,2060,1.0,0.0719
476,2061,0.0001,1.0
477,2062,0.9172,0.1163
478,2063,1.0,0.0001
479,2064,1.0,1.0
480,2065,1.0,1.0
481,2066,1.0,1.0
482,2067,1.0,0.5069
483,2068,1.0,1.0
484,2069,1.0,1.0
485,2070,1.0,0.2336
486,2071,0.0576,0.9647
487,2072,1.0,1.0
488,2073,1.0,1.0
489,2074,0.0001,1.0
490,2075,1.0,1.0
491,2076,1.0,0.0001
492,2078,1.0,1.0
493,2079,1.0,1.0
494,2080,1.0,1.0
495,2081,0.0031,1.0
496,2082,1.0,1.0
497,2083,0.0001,1.0
498,2084,0.998,0.0063
499,2085,0.1097,1.0
500,2086,1.0,1.0
501,2087,1.0,1.0
502,2088,1.0,1.0
503,2089,1.0,0.0001
504,2090,1.0,1.0
505,2091,1.0,1.0
506,2092,0.0571,1.0
507,2093,0.8225,0.4793
508,2095,0.0006,0.9995
509,2096,0.0006,0.9999
510,2097,0.0001,1.0
511,2098,0.4679,0.8923
512,2099,1.0,1.0
513,2100,1.0,1.0
514,2101,0.0059,1.0
515,2102,0.0001,1.0
516,2103,0.0001,1.0
517,2104,1.0,0.0001
518,2105,0.0001,1.0
519,2106,0.9753,0.1023
520,2107,1.0,1.0
521,2108,1.0,1.0
522,2109,1.0,0.0002
523,2110,0.0001,1.0
524,2111,1.0,1.0
525,2112,1.0,0.2692
526,2117,0.9319,0.3247
527,2128,0.0001,1.0
528,2156,1.0,1.0
529,2158,1.0,1.0
530,2182,0.0001,1.0
531,2184,1.0,1.0
532,2187,1.0,0.2554
533,2202,0.0001,1.0
534,2208,0.0095,0.9981
535,2218,1.0,0.0001
536,2231,0.0001,1.0
537,2243,1.0,1.0
538,2244,0.8937,0.1703
539,2245,1.0,0.0001
540,2250,1.0,1.0
541,2259,0.0607,1.0
542,2262,1.0,1.0
543,2266,1.0,0.052
544,2278,1.0,1.0
545,2293,1.0,1.0
546,2294,1.0,0.0001
547,2298,1.0,1.0
548,2318,1.0,1.0
549,2321,1.0,1.0
550,2347,1.0,1.0
551,2366,0.0001,1.0
552,2367,0.4976,0.6693
553,2368,1.0,1.0
554,2378,1.0,1.0
555,2379,1.0,1.0
556,2381,1.0,1.0
557,2383,1.0,1.0
558,2384,1.0,1.0
559,2386,1.0,1.0
560,2387,1.0,0.0001
561,2388,1.0,1.0
562,2389,0.5087,1.0
563,2390,1.0,1.0
564,2391,1.0,0.4717
565,2392,1.0,1.0
566,2393,1.0,1.0
567,2394,0.0001,1.0
568,2395,0.0001,1.0
569,2396,1.0,1.0
570,2397,1.0,1.0
571,2398,0.0001,1.0
572,2402,1.0,1.0
573,2403,0.0001,1.0
574,2404,1.0,0.0001
575,2405,1.0,1.0
576,2408,0.0001,1.0
577,2409,0.2651,1.0
578,2410,1.0,1.0
579,2411,1.0,1.0
580,2412,1.0,1.0
581,2413,1.0,0.0001
582,2414,1.0,1.0
583,2415,1.0,1.0
584,2416,0.1525,0.8768
585,2417,1.0,0.0001
586,2418,1.0,1.0
587,2419,0.8406,0.2089
588,2420,1.0,1.0
589,2421,1.0,1.0
590,2422,0.0001,1.0
591,2423,1.0,0.0001
592,2424,1.0,0.0001
593,2425,1.0,0.0001
594,2426,1.0,1.0
595,2427,1.0,1.0
596,2428,1.0,0.0001
597,2429,1.0,1.0
598,2430,0.0001,1.0
599,2431,1.0,1.0
600,2432,1.0,0.0046
601,2433,1.0,1.0
602,2434,0.2529,1.0
603,2435,1.0,0.0001
604,2436,1.0,1.0
605,2437,1.0,1.0
606,2438,1.0,1.0
607,2439,1.0,1.0
608,2440,0.2592,1.0
609,2441,1.0,1.0
610,2442,1.0,1.0
611,2443,1.0,1.0
612,2444,0.0001,1.0
613,2445,1.0,1.0
614,2446,1.0,1.0
615,2447,0.7891,0.3171
616,2448,0.9901,0.0438
617,2449,0.0001,1.0
618,2451,1.0,1.0
619,2452,1.0,0.497
620,2453,1.0,1.0
621,2454,1.0,1.0
622,2455,1.0,1.0
623,2456,1.0,1.0
624,2457,1.0,1.0
625,2458,1.0,1.0
626,2459,0.0001,1.0
627,2460,1.0,0.0001
628,2461,0.5057,1.0
629,2462,1.0,0.0001
630,2463,0.1798,0.865
631,2464,1.0,1.0
632,2465,0.0001,1.0
633,2466,1.0,1.0
634,2467,1.0,1.0
635,2468,0.0001,1.0
636,2469,1.0,1.0
637,2471,1.0,1.0
638,2472,0.1101,1.0
639,2473,1.0,1.0
640,2474,0.0001,1.0
641,2475,0.5007,1.0
642,2476,1.0,1.0
643,2477,0.0001,1.0
644,2478,1.0,1.0
645,2479,0.0005,1.0
646,2480,0.7537,0.7497
647,2481,0.0001,1.0
648,2482,1.0,0.5073
649,2483,1.0,1.0
650,2484,0.0001,1.0
651,2485,1.0,0.0001
652,2486,1.0,0.0001
653,2487,1.0,0.0001
654,2488,1.0,0.0001
655,2489,1.0,1.0
656,2490,1.0,1.0
657,2491,1.0,1.0
658,2492,1.0,1.0
659,2493,1.0,1.0
660,2494,1.0,1.0
661,2495,1.0,1.0
662,2496,1.0,1.0
663,2497,0.0001,1.0
664,2498,0.0001,1.0
665,2499,1.0,1.0
666,2500,1.0,1.0
667,2501,1.0,1.0
668,2502,1.0,0.0158
669,2503,1.0,1.0
670,2504,1.0,0.0001
671,2505,0.0001,1.0
672,2506,0.995,0.0126
673,2507,1.0,1.0
674,2508,0.0001,1.0
675,2509,1.0,0.0032
676,2510,0.4867,1.0
677,2511,1.0,1.0
678,2512,1.0,1.0
679,2513,1.0,0.0001
680,2514,1.0,1.0
681,2515,1.0,1.0
682,2516,1.0,1.0
683,2517,1.0,1.0
684,2518,1.0,0.0001
685,2519,1.0,1.0
686,2520,1.0,0.0001
687,2521,1.0,1.0
688,2522,1.0,1.0
689,2523,0.0046,1.0
690,2524,1.0,0.0001
691,2525,0.0002,1.0
692,2526,0.0001,1.0
693,2527,1.0,0.0001
694,2528,1.0,1.0
695,2529,0.0001,1.0
696,2530,0.9844,0.0204
697,2531,0.0505,1.0
698,2532,1.0,0.0001
699,2533,1.0,1.0
700,2534,1.0,0.0334
701,2535,1.0,1.0
702,2536,1.0,1.0
703,2537,0.5178,1.0
704,2538,0.0001,1.0
705,2539,1.0,1.0
706,2540,1.0,1.0
707,2541,1.0,1.0
708,2542,1.0,1.0
709,2543,1.0,1.0
