ids,pvalue_less,pvalue_greater
1170,1.0,0.000999000999000999
1171,1.0,1.0
1172,1.0,0.2597402597402597
1173,1.0,0.000999000999000999
1174,1.0,0.000999000999000999
1175,1.0,1.0
1176,1.0,1.0
1177,0.059940059940059943,1.0
1178,0.06793206793206794,0.972027972027972
1179,1.0,1.0
1180,0.000999000999000999,1.0
1181,1.0,1.0
1182,0.000999000999000999,1.0
1183,0.000999000999000999,1.0
1184,1.0,0.000999000999000999
1185,1.0,1.0
1186,1.0,1.0
1187,1.0,1.0
1189,0.8781218781218781,0.5114885114885115
1190,0.000999000999000999,1.0
1191,1.0,1.0
1192,0.000999000999000999,1.0
1193,1.0,0.000999000999000999
1194,1.0,1.0
1195,1.0,1.0
1196,1.0,1.0
1197,0.4945054945054945,1.0
1198,0.000999000999000999,1.0
1199,1.0,1.0
1200,1.0,1.0
1201,1.0,0.000999000999000999
1202,0.997002997002997,0.007992007992007992
1203,1.0,1.0
1204,1.0,0.000999000999000999
1205,1.0,0.000999000999000999
1206,0.9560439560439561,0.09090909090909091
1207,1.0,1.0
1208,0.2097902097902098,0.8881118881118881
1209,0.7742257742257742,0.7192807192807192
1210,1.0,1.0
1211,1.0,0.000999000999000999
1212,1.0,1.0
1213,1.0,0.23476523476523475
1214,1.0,1.0
1215,0.5374625374625375,0.8781218781218781
1216,0.000999000999000999,1.0
1217,1.0,1.0
1218,1.0,1.0
1219,0.000999000999000999,1.0
1220,1.0,0.061938061938061936
1221,1.0,0.000999000999000999
1222,1.0,1.0
1223,1.0,0.000999000999000999
1224,1.0,0.000999000999000999
1225,1.0,0.000999000999000999
1226,0.974025974025974,0.08191808191808192
1227,1.0,1.0
1228,1.0,0.000999000999000999
1229,1.0,0.000999000999000999
1230,0.000999000999000999,1.0
1231,1.0,0.000999000999000999
1232,1.0,0.000999000999000999
1233,0.07292707292707293,1.0
1234,1.0,1.0
1235,1.0,0.000999000999000999
1236,1.0,0.000999000999000999
1237,0.030969030969030968,1.0
