ids,pvalue_less,pvalue_greater
1298,1.0,1.0
1299,0.000999000999000999,1.0
1300,0.5514485514485514,1.0
1301,0.5074925074925075,1.0
1302,0.02097902097902098,1.0
1303,1.0,1.0
1304,0.5004995004995005,1.0
1305,0.000999000999000999,1.0
1306,0.000999000999000999,1.0
1307,0.005994005994005994,1.0
1308,1.0,1.0
1309,1.0,1.0
1310,0.4695304695304695,1.0
1311,1.0,1.0
1312,1.0,0.000999000999000999
1313,0.4805194805194805,1.0
1314,0.11788211788211789,1.0
1315,1.0,1.0
1316,0.5184815184815185,1.0
1317,0.000999000999000999,1.0
1318,0.12387612387612387,1.0
1319,1.0,1.0
1320,0.011988011988011988,1.0
1321,1.0,1.0
1322,0.2817182817182817,1.0
1323,0.000999000999000999,1.0
1324,1.0,1.0
1325,0.000999000999000999,1.0
1327,0.15984015984015984,1.0
1328,1.0,1.0
1329,0.5034965034965035,1.0
1330,1.0,0.000999000999000999
1707,1.0,1.0
1833,0.23776223776223776,1.0
1874,1.0,1.0
1875,1.0,1.0
1912,1.0,1.0
1921,0.000999000999000999,1.0
1930,0.45554445554445555,0.8881118881118881
1938,1.0,1.0
1940,1.0,1.0
1944,1.0,1.0
1956,1.0,1.0
1958,1.0,1.0
1965,1.0,0.5464535464535465
1978,0.000999000999000999,1.0
1980,1.0,1.0
1984,1.0,1.0
1985,0.5034965034965035,1.0
1991,1.0,1.0
1993,0.000999000999000999,1.0
1995,0.000999000999000999,1.0
1996,1.0,1.0
1997,1.0,1.0
1998,1.0,1.0
1999,0.000999000999000999,1.0
2000,0.024975024975024976,1.0
2001,0.029970029970029972,1.0
2002,0.000999000999000999,1.0
2003,0.000999000999000999,1.0
2004,1.0,1.0
2005,1.0,1.0
2006,0.4995004995004995,1.0
2007,1.0,1.0
2008,0.000999000999000999,1.0
2009,1.0,1.0
2010,1.0,1.0
2011,0.012987012987012988,1.0
2012,1.0,1.0
2013,1.0,1.0
2014,1.0,1.0
2015,0.003996003996003996,1.0
2016,0.000999000999000999,1.0
2017,1.0,1.0
2018,0.5354645354645354,1.0
2019,0.5124875124875125,1.0
2020,1.0,1.0
2021,0.000999000999000999,1.0
2022,1.0,1.0
2023,1.0,1.0
2024,0.000999000999000999,1.0
2025,0.000999000999000999,1.0
2026,1.0,1.0
2027,1.0,1.0
2028,1.0,1.0
2029,1.0,1.0
2030,0.4835164835164835,1.0
2031,1.0,1.0
2032,0.007992007992007992,1.0
2033,1.0,1.0
2034,1.0,1.0
2035,1.0,1.0
2036,1.0,1.0
2037,1.0,1.0
2038,1.0,1.0
2039,0.01898101898101898,1.0
2041,0.5054945054945055,1.0
2042,1.0,0.000999000999000999
2043,1.0,1.0
2044,1.0,1.0
2045,1.0,1.0
2046,1.0,1.0
2047,1.0,1.0
2048,0.000999000999000999,1.0
2049,1.0,1.0
2050,1.0,1.0
2051,0.003996003996003996,1.0
2052,1.0,1.0
2053,0.000999000999000999,1.0
2054,0.000999000999000999,1.0
2055,0.24875124875124874,1.0
2056,1.0,1.0
2057,0.25574425574425574,1.0
2058,0.000999000999000999,1.0
2059,0.4875124875124875,0.6593406593406593
2060,1.0,1.0
2061,0.000999000999000999,1.0
2062,1.0,1.0
2063,1.0,1.0
2064,1.0,1.0
2065,0.999000999000999,0.003996003996003996
2066,1.0,1.0
2067,1.0,1.0
2068,0.000999000999000999,1.0
2069,1.0,1.0
2070,0.03396603396603397,1.0
2071,0.000999000999000999,1.0
