id,pvalue
1199,1.0
1200,1.0
1201,1.0
1202,0.0009765625
1203,1.0
1204,1.0
1205,0.5146484375
1206,0.03515625
1207,1.0
1208,0.8310546875
1209,1.0
1210,1.0
1211,0.0009765625
1212,1.0
1213,1.0
1214,1.0
1215,1.0
1216,1.0
1217,1.0
1218,1.0
1219,1.0
1220,0.0009765625
1221,0.0009765625
1222,1.0
1223,0.0009765625
1224,0.0009765625
1225,1.0
1226,1.0
1227,1.0
1228,1.0
1229,1.0
1230,1.0
1231,1.0
1232,0.6337890625
1233,1.0
1234,1.0
1235,1.0
1236,0.0009765625
1237,1.0
1238,0.0009765625
1239,1.0
1240,0.0009765625
1241,1.0
1242,0.0009765625
1243,1.0
1244,1.0
1245,1.0
1246,1.0
1247,0.0009765625
1248,0.0009765625
1249,1.0
1250,1.0
1251,1.0
1252,1.0
1253,1.0
1254,1.0
1255,1.0
1256,1.0
1257,1.0
1258,0.9736328125
1259,1.0
1260,0.0009765625
1261,1.0
1262,1.0
1263,1.0
1264,1.0
1265,1.0
1266,1.0
1267,1.0
1268,0.0009765625
1269,1.0
1270,0.0009765625
1271,1.0
1272,1.0
1273,1.0
1274,1.0
1275,1.0
1276,1.0
1277,1.0
1278,1.0
1279,1.0
1280,0.0009765625
1281,1.0
1282,1.0
1283,1.0
1284,0.009765625
1285,1.0
1286,1.0
1287,0.0009765625
1288,0.0009765625
1289,1.0
1290,1.0
1291,1.0
1292,0.0009765625
1293,1.0
1294,1.0
1295,0.0009765625
1296,1.0
1297,0.0009765625
1298,1.0
1299,1.0
1300,1.0
1301,1.0
1302,1.0
1303,0.0009765625
1304,1.0
1305,0.0009765625
1306,0.0009765625
1307,1.0
1308,1.0
1309,1.0
1310,1.0
1311,1.0
1312,1.0
1313,1.0
1314,0.212890625
1315,1.0
1316,1.0
1317,1.0
1318,1.0
1319,0.0009765625
1320,1.0
1321,1.0
1322,0.1845703125
1323,1.0
1324,0.0009765625
1325,1.0
1327,0.0009765625
1328,1.0
1329,0.0048828125
1330,1.0
1707,0.994140625
1833,1.0
1874,1.0
1875,1.0
1912,1.0
1921,1.0
1930,1.0
1938,0.0009765625
1940,1.0
1944,1.0
1956,1.0
1958,0.0009765625
1965,1.0
1978,1.0
1980,0.8369140625
1984,0.0009765625
1985,0.0009765625
1991,1.0
1993,1.0
1995,0.0009765625
1996,0.0009765625
1997,1.0
1998,0.1845703125
1999,1.0
2000,0.0009765625
2001,1.0
2002,1.0
2003,0.0009765625
2004,0.1142578125
2005,1.0
2006,1.0
2007,1.0
2008,1.0
2009,1.0
2010,1.0
2011,0.0009765625
2012,0.0009765625
2013,1.0
2014,1.0
2015,0.1728515625
2016,1.0
2017,0.6904296875
2018,1.0
2019,1.0
2020,0.0009765625
2021,1.0
2022,1.0
2023,1.0
2024,1.0
2025,1.0
2026,1.0
2027,1.0
2028,1.0
2029,1.0
2030,1.0
2031,1.0
2032,1.0
2033,0.1064453125
2034,0.0009765625
2035,1.0
2036,0.0009765625
2037,1.0
2038,1.0
2039,1.0
2041,1.0
2042,0.0009765625
2043,1.0
2044,0.0009765625
